"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"positive-convergence-time"
"06/09/2026 15:51:18:978 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","ticks","mean-opinion","sd-opinion"
"237","100000","0.2","30","0","pos","99999","100000","0.10451206837093502","0.027913523663340854"
"238","100000","0.2","30","0","pos","99999","100000","0.11297734405580777","0.031854843844523244"
"239","100000","0.2","30","0","pos","99999","100000","0.10476482703484269","0.04844533459689742"
"240","100000","0.2","30","0","pos","99999","100000","0.09351010333451677","0.019512525161134133"
"242","100000","0.2","40","0","pos","99999","100000","0.11544495456984011","0.02231977173011537"
"244","100000","0.2","40","0","pos","99999","100000","0.08418881923688057","0.027258672317509062"
"243","100000","0.2","40","0","pos","99999","100000","0.10239663436853438","0.027319011171854823"
"246","100000","0.2","40","0","pos","99999","100000","0.1105791866285136","0.025589181574628188"
"241","100000","0.2","40","0","pos","99999","100000","0.10054637552683983","0.0212696697881553"
"247","100000","0.2","40","0","pos","99999","100000","0.10760406274261901","0.03746093896661929"
"245","100000","0.2","40","0","pos","99999","100000","0.10919526613707703","0.03435751369065757"
"249","100000","0.2","40","0","pos","99999","100000","0.11360862210351018","0.0295945215620974"
"251","100000","0.2","40","0","pos","99999","100000","0.1059255737439109","0.03882247786198626"
"252","100000","0.2","40","0","pos","99999","100000","0.12553433253022264","0.028589018808599414"
"250","100000","0.2","40","0","pos","99999","100000","0.11003380484879614","0.027842489553180035"
"248","100000","0.2","40","0","pos","99999","100000","0.11556202430446934","0.03643164013708755"
"253","100000","0.2","40","0","pos","99999","100000","0.12699420550895843","0.016434313103024175"
"255","100000","0.2","40","0","pos","99999","100000","0.10250200217292114","0.022743117026158225"
"254","100000","0.2","40","0","pos","99999","100000","0.10596700653580347","0.015041960793810136"
"256","100000","0.2","40","0","pos","99999","100000","0.10471780412857118","0.014918879216940292"
"257","100000","0.2","40","0","pos","99999","100000","0.10033332549037927","0.02737122823692625"
"259","100000","0.2","40","0","pos","99999","100000","0.10059557872883776","0.025039870685597574"
"260","100000","0.2","40","0","pos","99999","100000","0.1109379824918117","0.040116337471049514"
"258","100000","0.2","40","0","pos","99999","100000","0.09922101927037891","0.04352659901609653"
"262","100000","0.2","40","0","pos","99999","100000","0.10412313484925055","0.031810716146640786"
"261","100000","0.2","40","0","pos","99999","100000","0.0941725136206478","0.023577170746769786"
"263","100000","0.2","40","0","pos","99999","100000","0.11398441874598732","0.02876194998389389"
"264","100000","0.2","40","0","pos","99999","100000","0.08512316938437736","0.02751899189584056"
"265","100000","0.2","40","0","pos","99999","100000","0.1138072741524418","0.011850447434388673"
"266","100000","0.2","40","0","pos","99999","100000","0.1100642147030963","0.04838707560234789"
"267","100000","0.2","40","0","pos","99999","100000","0.11784944901361598","0.016824535821688327"
"268","100000","0.2","40","0","pos","99999","100000","0.10655023749713198","0.01817066478608405"
